rosbagTimestamp,,,seq,secs,nsecs,frame_id,child_frame_id,,transform,x,y,z,,x,y,z,w
1.60488458318998E+018,,0,,1603863775,205524921,"""map""","""camera_link""",,,3.31572039385,0.0881898895924,0.0312712260405,,-0.00184024934827,0.00193336488229,0.0208571921515,0.99977890193
1.60488458325838E+018,,0,,1604884583,257894754,"""map""","""camera_link_refined""",,,3.31572039385,0.0881898895924,0.0312712260405,,-0.00184024934861,0.00193336488265,0.0208571921554,0.999778902117
1.60488458330863E+018,,0,,1603863775,309135913,"""map""","""camera_link""",,,3.3695884901,0.0910977918642,0.0316360971834,,-0.00185537818563,0.0018898645279,0.0213283213725,0.999769020227
1.60488458338296E+018,,0,,1604884583,382360219,"""map""","""camera_link_refined""",,,3.3695884901,0.0910977918642,0.0316360971834,,-0.00185537818089,0.00188986452306,0.021328321318,0.99976901767
1.60488458341086E+018,,0,,1603863775,412750959,"""map""","""camera_link""",,,3.419466889,0.0938593578806,0.0320171335945,,-0.00300792766436,0.00203169223343,0.0220145231539,0.99975106747
1.60488458343662E+018,,0,,1604884583,436189174,"""map""","""camera_link_refined""",,,3.3695884901,0.0910977918642,0.0316360971834,,-0.00185537818089,0.00188986452306,0.021328321318,0.99976901767
1.60488458350138E+018,,0,,1603863775,516369104,"""map""","""camera_link""",,,3.46889841945,0.0965529885029,0.033372067112,,-0.00319858361322,0.0027535558349,0.0226702445764,0.999734090678
1.6048845835211E+018,,0,,1604884583,520770788,"""map""","""camera_link_refined""",,,3.46889841945,0.0965529885029,0.033372067112,,-0.00319858360513,0.00275355582793,0.0226702445191,0.999734088149
1.60488458362596E+018,,0,,1603863775,619987964,"""map""","""camera_link""",,,3.51745812639,0.0979807474657,0.033571132509,,-0.00309939261038,0.00275883073259,0.0234297474048,0.99971687511
1.60488458364773E+018,,0,,1604884583,647172451,"""map""","""camera_link_refined""",,,3.51745812639,0.0979807474657,0.033571132509,,-0.0030993926091,0.00275883073145,0.0234297473952,0.999716874698
1.60488458372028E+018,,0,,1603863775,723598003,"""map""","""camera_link""",,,3.56557057771,0.102278651188,0.0341755013801,,-0.00289732061914,0.00342123881123,0.0236030818696,0.999711360104
1.60488458377651E+018,,0,,1604884583,768009662,"""map""","""camera_link_refined""",,,3.56557057771,0.102278651188,0.0341755013801,,-0.00289732060706,0.00342123879697,0.0236030817713,0.999711355937
