,rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,is_bigendian,step
0,1603863769089112043,,0,,1603863769,89112043,"""camera_color_left""",0,3723
1,1603863769192698955,,0,,1603863769,192698955,"""camera_color_left""",0,3723
2,1603863769296443939,,0,,1603863769,296443939,"""camera_color_left""",0,3723
3,1603863769400181055,,0,,1603863769,400181055,"""camera_color_left""",0,3723
4,1603863769503798007,,0,,1603863769,503798007,"""camera_color_left""",0,3723
5,1603863769607414007,,0,,1603863769,607414007,"""camera_color_left""",0,3723
6,1603863769711162090,,0,,1603863769,711162090,"""camera_color_left""",0,3723
7,1603863769814770936,,0,,1603863769,814770936,"""camera_color_left""",0,3723
8,1603863769918503999,,0,,1603863769,918503999,"""camera_color_left""",0,3723
9,1603863770022125005,,0,,1603863770,22125005,"""camera_color_left""",0,3723
10,1603863770125868082,,0,,1603863770,125868082,"""camera_color_left""",0,3723
11,1603863770229482889,,0,,1603863770,229482889,"""camera_color_left""",0,3723
12,1603863770333219051,,0,,1603863770,333219051,"""camera_color_left""",0,3723
13,1603863770436841011,,0,,1603863770,436841011,"""camera_color_left""",0,3723
14,1603863770540452003,,0,,1603863770,540452003,"""camera_color_left""",0,3723
15,1603863770644190073,,0,,1603863770,644190073,"""camera_color_left""",0,3723
16,1603863770748034000,,0,,1603863770,748034000,"""camera_color_left""",0,3723
17,1603863770851568937,,0,,1603863770,851568937,"""camera_color_left""",0,3723
18,1603863770955286026,,0,,1603863770,955286026,"""camera_color_left""",0,3723
19,1603863771058969974,,0,,1603863771,58969974,"""camera_color_left""",0,3723
20,1603863771162642955,,0,,1603863771,162642955,"""camera_color_left""",0,3723
21,1603863771266258955,,0,,1603863771,266258955,"""camera_color_left""",0,3723
22,1603863771369870901,,0,,1603863771,369870901,"""camera_color_left""",0,3723
23,1603863771473486900,,0,,1603863771,473486900,"""camera_color_left""",0,3723
24,1603863771577126979,,0,,1603863771,577126979,"""camera_color_left""",0,3723
25,1603863771680747032,,0,,1603863771,680747032,"""camera_color_left""",0,3723
26,1603863771784457921,,0,,1603863771,784457921,"""camera_color_left""",0,3723
27,1603863771888072967,,0,,1603863771,888072967,"""camera_color_left""",0,3723
28,1603863771991689920,,0,,1603863771,991689920,"""camera_color_left""",0,3723
29,1603863772095309019,,0,,1603863772,95309019,"""camera_color_left""",0,3723
30,1603863772199090003,,0,,1603863772,199090003,"""camera_color_left""",0,3723
31,1603863772302661895,,0,,1603863772,302661895,"""camera_color_left""",0,3723
32,1603863772406404018,,0,,1603863772,406404018,"""camera_color_left""",0,3723
33,1603863772510142087,,0,,1603863772,510142087,"""camera_color_left""",0,3723
34,1603863772613760948,,0,,1603863772,613760948,"""camera_color_left""",0,3723
35,1603863772717494964,,0,,1603863772,717494964,"""camera_color_left""",0,3723
36,1603863772821114063,,0,,1603863772,821114063,"""camera_color_left""",0,3723
37,1603863772924733877,,0,,1603863772,924733877,"""camera_color_left""",0,3723
38,1603863773028347969,,0,,1603863773,28347969,"""camera_color_left""",0,3723
